date,clicks,impressions,ctr,position
2026-08-25,100,529,18.90%,9.3
2026-08-26,120,633,18.96%,8.1
2026-08-27,149,765,19.48%,8.5
2026-08-28,131,503,26.04%,7.9
2026-08-29,139,431,32.25%,6.5
2026-08-30,149,527,28.27%,7.7
2026-08-31,166,495,33.54%,5.8
2026-09-01,157,494,31.78%,6.3
2026-09-02,127,397,31.99%,10.1
2026-09-03,135,627,21.53%,11.3
2026-09-04,136,855,15.91%,12.5
2026-09-05,114,671,16.99%,10.0
2026-09-06,93,396,23.48%,8.0
2026-09-07,81,395,20.51%,7.7
2026-09-08,82,398,20.60%,7.7
2026-09-09,110,337,32.64%,5.1
2026-09-10,118,311,37.94%,4.7
2026-09-11,141,548,25.73%,7.2
2026-09-12,165,731,22.57%,5.9
2026-09-13,138,637,21.66%,6.6
2026-09-14,118,686,17.20%,7.1
2026-09-15,111,656,16.92%,8.8
2026-09-16,116,600,19.33%,11.3
2026-09-17,122,425,28.71%,9.4
2026-09-18,97,569,17.05%,8.4
2026-09-19,82,454,18.06%,5.9
